# Based on IANA (Ver: tzdata2018g)
# I18NOK:FileNotLocalizable
#
# sas_historictimezone.txt
# zone
# tzid;format;offset;save;mode;untilYear;untilMonth;untilDay;untilDOW;untilTime;timeType

America/Caracas;-04;-14400;0;1;3999;1;1;-1;0;0
America/Caracas;-0430;-16200;0;1;2016;5;1;-1;9000;0
America/Caracas;-04;-14400;0;1;2007;12;9;-1;10800;0
America/Caracas;-0430;-16200;0;1;1965;1;1;-1;0;0
America/Caracas;CMT;-16060;0;1;1912;2;12;-1;0;0
America/Caracas;LMT;-16064;0;1;1890;1;1;-1;0;0
America/Catamarca;-03;-10800;0;1;3999;1;1;-1;0;0
America/Catamarca;-03/-02;-10800;Arg;1;2008;10;18;-1;0;0
America/Catamarca;-04;-14400;0;1;2004;6;20;-1;0;0
America/Catamarca;-03;-10800;0;1;2004;6;1;-1;0;0
America/Catamarca;-04/-03;-14400;Arg;1;2000;3;3;-1;0;0
America/Catamarca;-03/-02;-10800;Arg;1;1999;10;3;-1;0;0
America/Catamarca;-04;-14400;0;1;1991;10;20;-1;0;0
America/Catamarca;-03/-02;-10800;Arg;1;1991;3;3;-1;0;0
America/Catamarca;-04/-03;-14400;Arg;1;1969;10;5;-1;0;0
